RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Participant	Semester	Collection	Category Group	Category Right	Category Left	Index Right	Index Left	Pupil Diameter Right [mm]	Pupil Diameter Left [mm]	Point of Regard Right X [px]	Point of Regard Right Y [px]	Point of Regard Left X [px]	Point of Regard Left Y [px]	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Gaze Vector Left X	Gaze Vector Left Y	Gaze Vector Left Z	Eye Position Right X [mm]	Eye Position Right Y [mm]	Eye Position Right Z [mm]	Eye Position Left X [mm]	Eye Position Left Y [mm]	Eye Position Left Z [mm]	Pupil Position Right X [px]	Pupil Position Right Y [px]	Pupil Position Left X [px]	Pupil Position Left Y [px]	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
1791929.2880	13:14:49:302	Trial031	wct_005b	Subject1	Expert	SS18	Information	Separator	Separator	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	94dc253c-8533-4977-8348-a2e5d3dc828a.jpg
1791929.3110	13:14:49:302	Trial031	wct_005b	Subject1	Expert	SS18	Information	Scroll	Scroll	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	None	None	-
1791932.3030	13:14:49:305	Trial031	wct_005b	Subject1	Expert	SS18	Eye	-	-	-	-	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-	-	-	-	-
1791936.2260	13:14:49:309	Trial031	wct_005b	Subject1	Expert	SS18	Eye	-	-	-	-	5.3779	5.1776	988.9446	482.0088	900.0814	470.2810	0.0643	0.3032	-0.9508	0.0684	0.2814	-0.9571	1.3594	-40.0262	604.2712	-64.8445	-34.6701	599.7662	632.8652	664.3780	897.2904	644.5647	-	-	-	-	-
1791940.1490	13:14:49:313	Trial031	wct_005b	Subject1	Expert	SS18	Eye	-	-	-	-	5.3748	5.1838	989.8657	480.7403	901.3169	471.2685	0.0678	0.3055	-0.9498	0.0706	0.2820	-0.9568	1.3595	-39.9959	603.9059	-64.8795	-34.6886	600.1316	632.7936	664.3045	897.2288	644.5457	-	-	-	-	-
1791944.0720	13:14:49:317	Trial031	wct_005b	Subject1	Expert	SS18	Eye	-	-	-	-	5.3743	5.1913	989.3621	481.8840	899.4063	472.3818	0.0641	0.3000	-0.9518	0.0675	0.2804	-0.9575	1.3612	-39.9665	603.4539	-64.9186	-34.7098	600.4939	632.8542	664.4134	897.2908	644.5824	-	-	-	-	-
1791947.9940	13:14:49:321	Trial031	wct_005b	Subject1	Expert	SS18	Eye	-	-	-	-	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-	-	-	-	-
1791951.9170	13:14:49:325	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3719	5.1994	989.4617	480.1585	901.6771	471.1248	0.0646	0.3056	-0.9500	0.0721	0.2855	-0.9557	1.3651	-39.9249	603.0321	-64.9246	-34.7088	600.6120	632.8242	664.2430	897.1708	644.4492	-	-	-	-	-
1791955.8400	13:14:49:329	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3716	5.2112	989.0175	481.1771	901.7667	469.2254	0.0635	0.3027	-0.9510	0.0724	0.2849	-0.9558	1.3666	-39.8939	602.5811	-64.9025	-34.6991	600.4761	632.8333	664.2922	897.1352	644.4531	-	-	-	-	-
1791959.7630	13:14:49:332	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3688	5.2202	991.4657	478.2480	903.0634	467.2966	0.0698	0.3066	-0.9493	0.0722	0.2851	-0.9558	1.3678	-39.8583	602.1788	-64.8970	-34.6956	600.4444	632.7027	664.1763	897.1298	644.4432	-	-	-	-	-
1791963.6860	13:14:49:336	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-	-	-	-	-
1791967.6080	13:14:49:340	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3649	5.2257	992.7590	477.8542	904.5552	467.0351	0.0693	0.3038	-0.9502	0.0751	0.2829	-0.9562	1.3712	-39.8264	601.7990	-64.8783	-34.6842	600.2960	632.6942	664.2025	897.0646	644.4742	-	-	-	-	-
1791971.6140	13:14:49:344	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3630	5.2270	995.3785	476.5971	901.4841	464.7797	0.0709	0.3081	-0.9487	0.0668	0.2864	-0.9558	1.3721	-39.7955	601.4128	-64.8668	-34.6741	600.1743	632.6556	664.0911	897.2317	644.3906	-	-	-	-	-
1791975.6190	13:14:49:348	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3642	5.2281	995.0125	476.9366	900.3036	465.1503	0.0649	0.3039	-0.9505	0.0693	0.2822	-0.9568	1.3713	-39.7680	601.0382	-64.8439	-34.6611	599.9548	632.7717	664.1624	897.1886	644.4710	-	-	-	-	-
1791979.6250	13:14:49:352	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-	-	-	-	-
1791983.6300	13:14:49:356	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3656	5.2361	995.1646	477.3592	901.9459	463.2848	0.0658	0.3024	-0.9509	0.0736	0.2852	-0.9556	1.3714	-39.7380	600.6337	-64.8357	-34.6487	599.8665	632.7487	664.1771	897.1083	644.3818	-	-	-	-	-
1791987.6360	13:14:49:360	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3636	5.2406	994.6398	477.3537	901.1074	461.7499	0.0654	0.3042	-0.9504	0.0711	0.2856	-0.9557	1.3729	-39.7081	600.2476	-64.8333	-34.6445	599.8363	632.7450	664.1209	897.1602	644.3634	-	-	-	-	-
1791991.6410	13:14:49:364	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3628	5.2450	995.3082	479.6476	902.9766	460.3550	0.0664	0.3002	-0.9516	0.0729	0.2851	-0.9557	1.3708	-39.6856	599.9058	-64.8305	-34.6399	599.8133	632.7319	664.1983	897.1234	644.3598	-	-	-	-	-
1791995.6460	13:14:49:368	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3613	5.2499	995.4357	478.9613	904.3723	458.9542	0.0674	0.3057	-0.9497	0.0737	0.2856	-0.9555	1.3738	-39.6588	599.5286	-64.8182	-34.6348	599.7036	632.6954	664.0774	897.1068	644.3554	-	-	-	-	-
1791999.6520	13:14:49:372	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3596	5.2544	995.2477	478.4235	903.9116	457.2799	0.0649	0.3043	-0.9504	0.0685	0.2857	-0.9559	1.3728	-39.6368	599.1801	-64.8232	-34.6352	599.7373	632.7450	664.1077	897.2137	644.3465	-	-	-	-	-
1792003.6570	13:14:49:376	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3548	5.2571	996.0121	479.4985	904.8201	456.8964	0.0666	0.3039	-0.9504	0.0726	0.2860	-0.9555	1.3735	-39.6199	598.9094	-64.8305	-34.6385	599.7945	632.7038	664.1171	897.1376	644.3418	-	-	-	-	-
1792007.6630	13:14:49:380	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3523	5.2621	996.2357	480.2980	904.6729	456.6752	0.0653	0.3026	-0.9509	0.0717	0.2853	-0.9558	1.3752	-39.5986	598.5837	-64.8251	-34.6402	599.7692	632.7189	664.1402	897.1449	644.3685	-	-	-	-	-
1792008.1980	13:14:49:381	Trial031	wct_005b	Subject1	Expert	SS18	Information	DOM	DOM	3	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DOM completely loaded
1792011.6680	13:14:49:384	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3465	5.2628	996.4459	480.8214	902.7484	456.8063	0.0689	0.3050	-0.9498	0.0678	0.2846	-0.9562	1.3760	-39.5832	598.3290	-64.8229	-34.6427	599.7548	632.6436	664.0955	897.2194	644.3948	-	-	-	-	-
1792015.2200	13:14:49:388	Trial031	wct_005b	Subject1	Expert	SS18	Information	Full Website	Full Website	5	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1792015.6740	13:14:49:388	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3427	5.2653	996.7634	481.7834	901.8857	455.2303	0.0695	0.3031	-0.9504	0.0701	0.2872	-0.9553	1.3762	-39.5676	598.0695	-64.8135	-34.6426	599.7018	632.6281	664.1394	897.1585	644.3554	-	-	-	-	-
1792019.6790	13:14:49:392	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3409	5.2696	996.5782	483.7589	902.8428	455.1110	0.0694	0.3026	-0.9506	0.0702	0.2862	-0.9556	1.3764	-39.5612	597.9040	-64.8239	-34.6529	599.8477	632.6273	664.1660	897.1346	644.3835	-	-	-	-	-
1792023.6850	13:14:49:396	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3367	5.2723	997.8399	483.9876	903.1236	454.2575	0.0688	0.3041	-0.9502	0.0702	0.2850	-0.9560	1.3770	-39.5609	597.8378	-64.8463	-34.6695	600.0671	632.6355	664.1525	897.1304	644.4250	-	-	-	-	-
1792027.6900	13:14:49:400	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3293	5.2785	998.9949	483.9546	902.1620	455.2618	0.0690	0.3038	-0.9502	0.0702	0.2824	-0.9567	1.3768	-39.5569	597.7318	-64.8670	-34.6853	600.2664	632.6305	664.1681	897.1292	644.4947	-	-	-	-	-
1792031.6960	13:14:49:404	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3293	5.2837	998.2208	485.2953	902.6159	456.3424	0.0643	0.3018	-0.9512	0.0719	0.2822	-0.9566	1.3778	-39.5504	597.5287	-64.8992	-34.7075	600.5848	632.7161	664.2366	897.0858	644.5157	-	-	-	-	-
1792035.7010	13:14:49:408	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3292	5.2939	997.4703	484.4223	902.3354	457.8476	0.0642	0.3039	-0.9505	0.0716	0.2808	-0.9571	1.3781	-39.5531	597.5119	-64.9403	-34.7348	600.9882	632.7176	664.2082	897.0824	644.5621	-	-	-	-	-
1792039.7080	13:14:49:412	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3313	5.3006	997.9122	488.8790	901.9700	459.8966	0.0677	0.2962	-0.9527	0.0718	0.2797	-0.9574	1.3788	-39.5514	597.3763	-64.9813	-34.7616	601.3741	632.6444	664.3902	897.0761	644.6057	-	-	-	-	-
1792043.7150	13:14:49:416	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3376	5.3008	995.5980	491.8868	903.0547	461.6392	0.0611	0.2969	-0.9529	0.0720	0.2798	-0.9573	1.3788	-39.5493	597.2651	-65.0473	-34.8043	602.0218	632.7715	664.3976	897.0551	644.6284	-	-	-	-	-
1792047.7220	13:14:49:420	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3398	5.3092	995.9108	494.2885	901.9967	462.3845	0.0656	0.2976	-0.9524	0.0692	0.2817	-0.9570	1.3841	-39.5469	597.1442	-65.1179	-34.8451	602.6856	632.6606	664.4046	897.1035	644.6056	-	-	-	-	-
1792051.7290	13:14:49:424	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3360	5.3114	997.0006	494.3266	900.7138	464.1193	0.0679	0.3008	-0.9513	0.0679	0.2797	-0.9577	1.3865	-39.5532	597.1339	-65.2006	-34.8944	603.4438	632.6074	664.3688	897.1331	644.6730	-	-	-	-	-
1792055.7360	13:14:49:428	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3279	5.3178	996.4490	495.9906	901.2308	465.1990	0.0672	0.3006	-0.9514	0.0696	0.2798	-0.9575	1.3870	-39.5532	597.0473	-65.2760	-34.9365	604.1209	632.6166	664.3952	897.1087	644.6886	-	-	-	-	-
1792059.7430	13:14:49:432	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3318	5.3254	992.2969	497.1716	902.2281	466.4497	0.0603	0.3002	-0.9520	0.0726	0.2804	-0.9571	1.3870	-39.5574	597.0288	-65.3501	-34.9781	604.8208	632.7524	664.4254	897.0416	644.6852	-	-	-	-	-
1792063.7500	13:14:49:436	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3300	5.3354	991.6027	496.9406	902.4787	467.4214	0.0641	0.3022	-0.9511	0.0711	0.2805	-0.9572	1.3887	-39.5665	597.1002	-65.4131	-35.0139	605.4059	632.6714	664.4024	897.0697	644.6962	-	-	-	-	-
1792067.7570	13:14:49:440	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3299	5.3414	991.5795	500.5487	901.7710	469.0383	0.0669	0.2966	-0.9526	0.0686	0.2779	-0.9582	1.3899	-39.5799	597.2150	-65.4734	-35.0471	605.9446	632.6146	664.5383	897.1273	644.7591	-	-	-	-	-
1792071.7640	13:14:49:444	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3368	5.3486	988.9123	500.1300	902.3187	469.1839	0.0623	0.3016	-0.9514	0.0712	0.2793	-0.9576	1.3885	-39.5857	597.2804	-65.5112	-35.0688	606.3222	632.7097	664.4459	897.0639	644.7327	-	-	-	-	-
1792075.7710	13:14:49:448	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3375	5.3540	990.4796	501.5149	902.3030	468.8072	0.0671	0.2988	-0.9520	0.0713	0.2805	-0.9572	1.3902	-39.6000	597.4562	-65.5544	-35.0921	606.7159	632.6115	664.5132	897.0638	644.7139	-	-	-	-	-
1792079.7780	13:14:49:452	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3403	5.3527	990.5512	502.4048	903.1603	469.0642	0.0654	0.2998	-0.9518	0.0733	0.2781	-0.9578	1.3889	-39.6069	597.5500	-65.5842	-35.1092	606.9770	632.6506	664.4964	897.0323	644.7715	-	-	-	-	-
1792083.7850	13:14:49:456	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-	-	-	-	-
1792087.7920	13:14:49:461	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3413	5.3556	989.8939	502.8307	903.1459	467.3191	0.0653	0.2965	-0.9528	0.0714	0.2820	-0.9567	1.3885	-39.6074	597.5716	-65.6061	-35.1196	607.1704	632.6548	664.5590	897.0700	644.6921	-	-	-	-	-
1792091.7990	13:14:49:465	Trial031	wct_005b	Subject1	Expert	SS18	Eye	Fixation	Fixation	1	1	5.3380	5.3628	990.7855	502.4753	901.8646	466.6421	0.0648	0.2980	-0.9524	0.0683	0.2802	-0.9575	1.3872	-39.6178	597.7166	-65.6243	-35.1304	607.2969	632.6708	664.5345	897.1496	644.7438	-	-	-	-	-
